,Name,Institution1,Institution2
907,Eric  van Damme ,"CentER for Economic Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands","Tilburg Law and Economics Center (TILEC), Universiteit van Tilburg, Tilburg, Netherlands"
908,Quentin  Wodon ,"World Bank Group, Washington, District of Columbia (USA)",
909,Robert  Gibbons ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)","Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)"
910,Massimo  Marinacci ,"Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy","Dipartimento di Scienze delle Decisioni, Università Commerciale Luigi Bocconi, Milano, Italy"
911,Ted  O'Donoghue ,"Department of Economics, Cornell University, Ithaca, New York (USA)",
912,Andrea  Ichino ,"Department of Economics, European University Institute, Firenze, Italy","Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy"
913,Jennifer F. Reinganum ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
914,Charles Milton Kahn ,"Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",
915,Ronald G. Ehrenberg ,"Department of Economics, Cornell University, Ithaca, New York (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
916,Francesco  Trebbi ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
917,Jeffrey B. Liebman ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
918,Timo  Teräsvirta ,"Center for Research in Econometric Analysis of Time Series (CREATES), Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark","Center for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany"
919,Timothy James Hatton ,"Economics Department, University of Essex, Colchester, United Kingdom",
920,Erzo F.P. Luttmer ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
921,Holger  Strulik ,"Department für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakultät, Georg-August-Universität Göttingen, Göttingen, Germany",
922,Daniel F. Spulber ,"Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",
923,Giovanni  Dell'ariccia ,"Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",
924,Ashoka  Mody ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
925,Wilfred John Ethier ,"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
926,Jonathan David Ostry ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
927,Anat Ruth Admati ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
928,Edward B. Barbier ,"Department of Economics, Colorado State University, Fort Collins, Colorado (USA)",
929,Annette  Vissing-Jorgensen ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
930,Ian  Parry ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
931,Roy  Thurik ,"Montpellier Business School, Montpellier, France",
932,Magne  Mogstad ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
933,Alain  de Janvry ,"Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)","Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)"
934,Stephen Ross Yeaple ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)"
935,Timothy  Cason ,"Department of Economics, Krannert School of Management, Purdue University, West Lafayette, Indiana (USA)",
936,Sam  Peltzman ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
937,Philippe  Weil ,"European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",
938,William  Poole ,"Cato Institute, Washington, District of Columbia (USA)","Department of Economics, Lerner College of Business and Economics, University of Delaware, Newark, Delaware (USA)"
939,Paul Leslie Levine ,"School of Economics, University of Surrey, Guildford, United Kingdom",
940,Jorge  Martinez-Vazquez ,"International Center for Public Policy, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",
941,Gabriel J Felbermayr ,"Institut für Weltwirtschaft (IfW), Kiel, Germany",
942,Jose-Luis  Peydro ,"Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
943,Arie  Kapteyn ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
944,Paul J. Devereux ,"School of Economics, University College Dublin, Dublin, Ireland",
945,Sherman  Robinson ,"International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",
946,David S. Evans ,,
947,Jürgen  Schupp ,"Forschungsbasierte Infrastruktureinrichtung ""Sozio-oekonomisches Panel (SOEP)"", DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
948,Peter  Cramton ,"Department of Economics, University of Maryland, College Park, Maryland (USA)",
949,Arnold  Zellner †,,
950,Tito  Boeri ,"Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy","Fondazione Rodolfo DEBENEDETTI (fRDB), Milano, Italy"
951,Mary  Amiti ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
952,Muriel  Niederle ,"Department of Economics, Stanford University, Stanford, California (USA)",
953,Hilary Williamson Hoynes ,"Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)","Department of Economics, University of California-Berkeley, Berkeley, California (USA)"
954,Elinor  Ostrom †,,
955,Eliana  La Ferrara ,"Centre for Economic Policy Research (CEPR), London, United Kingdom",
956,Alain  Monfort ,"Centre de Recherche en Économie et Statistique (CREST), France",
957,Ricardo  Lagos ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
958,Jan Ernst Fagerberg ,"Senter for teknologi, innovasjon og kultur (TIK), Universitetet i Oslo, Oslo, Norway",
959,Siem Jan  Koopman ,"Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",
960,Holger  Görg ,"Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, Germany",
961,Niklas  Potrafke ,"ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",
962,Lance  Lochner ,"Department of Economics, University of Western Ontario, London, Canada",
963,Marc  Fleurbaey ,"Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",
964,Katarina  Juselius ,"Økonomisk Institut, Københavns Universitet, København, Denmark",
965,Olivier  Coibion ,"Department of Economics, University of Texas-Austin, Austin, Texas (USA)",
966,John J. Siegfried ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
967,Axel  Ockenfels ,"Staatswissenschaftliches Seminar, Wirtschafts- und Sozialwissenschaftliche Fakultät, Universität zu Köln, Köln, Germany",
968,Barry R. Weingast ,,
969,Marc  Lavoie ,"Centre d'Économie de l'Université Paris-Nord (CEPN), Université Paris-13, Paris, France","Département d'Économie / Department of Economics, Université d'Ottawa / University of Ottawa, Ottawa, Canada"
970,Milton  Harris ,"Applied Economics Workshop, Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
971,Benjamin  Olken ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
972,Lawrence J. White ,"Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
973,Daniel  Friedman ,"Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",
974,Bruno  Jullien ,"Toulouse School of Economics (TSE), Toulouse, France",
975,Oscar  Jorda ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
976,Stanley E. Zin ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)"
977,Philippe  Bacchetta ,"Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, Switzerland","Swiss Finance Institute, Genève/Zürich, Switzerland"
978,James R. Tybout ,"Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",
979,Andrew  Caplin ,,
980,Erik  Brynjolfsson ,"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
981,Patrick M. Kline ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
982,John  Hoddinott ,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",
983,Hidehiko  Ichimura ,"Faculty of Economics, University of Tokyo, Tokyo, Japan",
984,Lionel  Fontagné ,"Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",
985,Jose Antonio  Ocampo ,"Banco de la Republica de Colombia, Bogotá, Colombia",
986,Robert E. Baldwin †,,
987,Volker  Wieland ,"Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",
988,David  Blau ,"Department of Economics, Ohio State University, Columbus, Ohio (USA)",
989,Keith E. Maskus ,"Department of Economics, University of Colorado, Boulder, Colorado (USA)",
990,Kristin  Forbes ,"Monetary Policy Committee (MPC), Bank of England, London, United Kingdom","Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)"
991,Jörgen W. Weibull ,"Department of Economics, Handelshögskolan i Stockholm, Stockholm, Sweden",
992,Jesse  Rothstein ,"Goldman School of Public Policy, University of California-Berkeley, Berkeley, California (USA)",
993,Wilbert H van der Klaauw ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",
994,Timothy  Cogley ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
995,Jennifer  Hunt ,"Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",
996,Stephen M. Miller ,"Department of Economics, Lee School of Business, University of Nevada-Las Vegas, Las Vegas, Nevada (USA)","Department of Economics, University of Connecticut, Storrs, Connecticut (USA)"
997,Fatih  Guvenen ,"Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",
998,Paola  Giuliano ,"Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
999,Fabio  Schiantarelli ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
1000,Charles  Noussair ,"Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)",
1001,Jeroen C.J.M. van den Bergh ,"Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1002,David  Wildasin ,"Department of Economics, Carol Martin Gatton College of Business and Economics, University of Kentucky, Lexington, Kentucky (USA)",
1003,Yannis M. Ioannides ,"Department of Economics, Tufts University, Medford, Massachusetts (USA)",
1004,Eric  Rosengren ,"Federal Reserve Bank of Boston, Boston, Massachusetts (USA)",
1005,Stephen Walter Salant ,"Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",
1006,Leora F. Klapper ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1007,Reinhilde  Veugelers ,"Onderzoekseenheid Bedrijfseconomie, Strategie en Innovatie, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",
1008,Henri  Sterdyniak ,"Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",
1009,Greg Warren Kaplan ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
1010,Jeffrey H. Bergstrand ,"Department of Finance, Mendoza College of Business, University of Notre Dame, South Bend, Indiana (USA)","Department of Economics, University of Notre Dame, South Bend, Indiana (USA)"
1011,Jeffrey  Wurgler ,"Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
1012,Andrew Michael Jones ,"Department of Economics and Related Studies, University of York, York, United Kingdom",
1013,Marc  Nerlove ,"Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
